subject;task;n_particles;n_mcmc_steps;lml;runtime
str;str;int;int;float;float
S1;REST1;1000;100;7736.6685;50.16926574707031
S1;REST2;1000;100;6406.3384;46.25528144836426
S1;REST1;1000;250;11509.809;126.38279294967651
S1;EMOTION;1000;100;-907.83746;42.04236173629761
S1;GAMBLING;1000;100;1172.1423;43.685041666030884
S1;WM;750;500;754.46716;166.679212808609
S1;LANGUAGE;1000;100;-2327.0493;41.63824772834778
S1;REST2;1000;250;9992.25;118.21931886672974
S1;MOTOR;1000;100;-4009.7402;41.14513850212097
S1;RELATIONAL;1000;100;-3992.3792;41.29685568809509
S1;SOCIAL;1000;100;-1594.2919;41.335453510284424
S1;EMOTION;1000;250;1617.7863;110.68638467788696
S1;WM;1000;100;-3090.09;42.266175746917725
S1;GAMBLING;1000;250;4006.9497;110.90393209457397
S1;LANGUAGE;1000;250;295.785;108.51760983467102
S1;REST1;2000;50;6245.7393;49.77728772163391
S1;REST2;2000;50;4921.1113;44.91110944747925
S1;EMOTION;2000;50;-2223.093;42.73283123970032
S1;MOTOR;1000;250;-1690.5234;108.61036801338196
S1;GAMBLING;2000;50;-180.99934;43.42999053001404
S1;LANGUAGE;2000;50;-3483.7024;42.19491720199585
S1;REST1;1000;500;12919.373;242.74932527542114
S1;RELATIONAL;1000;250;-1658.308;105.82780528068542
S1;MOTOR;2000;50;-5523.483;38.966909646987915
S1;RELATIONAL;2000;50;-5107.565;40.255866050720215
S1;SOCIAL;2000;50;-2840.6868;41.47868204116821
S1;SOCIAL;1000;250;948.3666;108.99073576927185
S1;WM;2000;50;-4245.783;40.4876446723938
S1;WM;1000;250;-663.101;107.86832594871521
S1;REST2;1000;500;11603.953;236.05645084381104
S1;EMOTION;1000;500;3002.0183;223.16827583312988
S1;REST1;2000;100;8569.6455;96.2551383972168
S1;REST2;2000;100;6768.379;90.16200065612793
S1;REST1;2000;250;11320.567;241.96474599838257
S1;EMOTION;2000;100;-808.91986;85.58577013015747
S1;GAMBLING;1000;500;5649.1533;227.50980830192566
S1;GAMBLING;2000;100;1270.0735;85.40931248664856
S1;LANGUAGE;2000;100;-2483.5122;82.9200611114502
S1;REST2;2000;250;10058.349;243.31688499450684
S1;LANGUAGE;1000;500;1577.7229;223.47206497192383
S1;MOTOR;2000;100;-3721.4656;81.85699534416199
S1;RELATIONAL;2000;100;-4077.336;81.15549421310425
S1;SOCIAL;2000;100;-1188.6411;84.64650440216064
S1;EMOTION;2000;250;1837.9126;227.8129279613495
S1;MOTOR;1000;500;-313.4623;216.98930406570435
S1;WM;2000;100;-3096.575;82.83977937698364
S1;GAMBLING;2000;250;4216.36;229.35274410247803
S1;RELATIONAL;1000;500;-289.91638;219.65241980552673
S1;LANGUAGE;2000;250;428.62778;222.64885807037354
S1;SOCIAL;1000;500;2437.8071;223.82175588607788
S1;REST1;2000;500;13108.597;502.11262488365173
S1;MOTOR;2000;250;-1564.9845;218.5479609966278
S1;WM;1000;500;819.1466;221.2816562652588
S1;RELATIONAL;2000;250;-1525.9036;216.10599517822266
S1;SOCIAL;2000;250;1171.8259;222.74529600143433
S1;REST2;2000;500;11620.189;496.51585626602173
S1;WM;2000;250;-428.94748;222.5605411529541
S1;EMOTION;2000;500;3128.4116;469.7978320121765
S1;GAMBLING;2000;500;5766.1104;473.79848551750183
S1;LANGUAGE;2000;500;1688.0547;464.96605706214905
S1;MOTOR;2000;500;-255.64404;456.8988103866577
S1;RELATIONAL;2000;500;-87.98983;460.985267162323
S1;SOCIAL;2000;500;2650.0588;469.4739260673523
S1;WM;2000;500;833.68604;460.5611484050751
